Ensayo,Fase,Cantidad AC (g),Rendimiento,Pureza
Ensayo 1,Extracto,0.16 ± 0.01,---,---
Ensayo 1,Fase Acuosa,0.0 ± 0.0,1.51 ± 1.23,---
Ensayo 1,Fase Orgánica,0.01 ± 0.0,6.92 ± 1.16,8.08 ± 1.49
Ensayo 2,Extracto,0.17 ± 0.03,---,---
Ensayo 2,Fase Acuosa,0.0 ± 0.0,0.78 ± 0.01,---
Ensayo 2,Fase Orgánica,0.04 ± 0.01,24.79 ± 0.83,38.54 ± 10.03
Ensayo 2,Insolubles en agua,0.02 ± 0.01,9.66 ± 5.66,9.44 ± 1.57
Ensayo 2,Insolubles en ácido,0.01 ± 0.0,5.2 ± 2.12,7.06 ± 4.43
Ensayo 3,Extracto,0.26 ± 0.02,---,---
Ensayo 3,Fase Acuosa,0.01 ± 0.0,2.51 ± 0.96,---
Ensayo 3,Fase Orgánica,0.12 ± 0.02,44.53 ± 10.84,33.15 ± 3.6
Ensayo 4,Extracto,0.97 ± 0.08,---,---
Ensayo 4,Fase Acuosa,0.02 ± 0.0,2.07 ± 0.18,---
Ensayo 4,Fase Orgánica,0.62 ± 0.21,63.49 ± 16.59,50.73 ± 9.46
